ID_ISSUE;ID_USUARIO_COMENTARIO;DATA_REGISTRO
544301768;30405643;12/01/2020
544301768;30405643;13/01/2020
544301768;8604205;13/01/2020
544301768;30405643;13/01/2020
544301768;30405643;14/01/2020
543697012;8604205;30/12/2019
541425734;8604205;22/12/2019
539617432;15655;18/12/2019
531991898;8604205;03/12/2019
531991898;20864819;04/12/2019
531991898;8604205;04/12/2019
531991898;20864819;12/03/2020
530991854;8604205;02/12/2019
530991854;4140247;25/02/2020
530331571;15655;12/12/2019
529202235;5384588;27/11/2019
529202235;5384588;27/11/2019
528527656;8604205;26/11/2019
527318824;15655;22/11/2019
527318824;136907;23/11/2019
527318824;15655;23/11/2019
527318824;8604205;23/11/2019
527318824;955033;28/11/2019
524666768;11672885;18/11/2019
524531496;1153097;24/02/2020
524514769;1153097;24/02/2020
523542972;8604205;02/02/2020
523542972;3506071;19/05/2020
523542972;1758366;20/05/2020
523542972;15655;20/05/2020
523542972;5384588;20/05/2020
523542972;5384588;20/05/2020
523542972;15655;20/05/2020
523542972;5384588;20/05/2020
523542972;5384588;20/05/2020
523542972;3506071;20/05/2020
523542972;10864441;20/05/2020
523542972;90419992;10/09/2021
519898751;8604205;08/11/2019
518803554;8604205;06/11/2019
518803554;6013174;06/11/2019
510465271;5384588;22/10/2019
510465271;5384588;22/10/2019
509558331;5384588;20/10/2019
509558331;5384588;20/10/2019
509558331;8604205;21/10/2019
506347203;5384588;13/10/2019
506347203;5384588;13/10/2019
506347203;38236083;13/10/2019
506347203;8604205;13/10/2019
506285930;15655;14/10/2019
506285930;51776539;14/10/2019
504915256;5384588;09/10/2019
504915256;5384588;09/10/2019
504025752;8604205;08/10/2019
500988210;5384588;01/10/2019
500988210;5384588;01/10/2019
500988210;15655;23/05/2020
498737378;8604205;26/09/2019
498737378;848620;26/09/2019
492075131;8604205;11/09/2019
489639033;42710260;14/10/2019
489639033;8604205;14/10/2019
487497465;8604205;30/08/2019
487497465;18381933;31/08/2019
487497465;8604205;01/09/2019
485567021;8604205;27/08/2019
485564596;50160441;27/08/2019
