;USUARIO;COMENTARIOS;ISSUES;COMMITS;DESEMPENHO;QUARTIL COMENTARIO;QUARTIL ISSUE;QUARTIL COMMITS
1192;158003;0.001265022137887413;0.03787878787878788;0.005563282336578581;0.03830604342048445;4;4;4
11521;19818679;0.002213788741302973;0.03787878787878788;0.0006954102920723226;0.037949796142161915;4;4;4
2581;475147;0.007590132827324478;0.03535353535353536;0.0;0.036159128561541735;4;4;1
164;13286;0.004743833017077799;0.03535353535353536;0.003477051460361613;0.03583945173332866;4;4;4
2444;444206;0.005534471853257432;0.03535353535353536;0.0;0.03578411436221628;4;4;1
10224;7613203;0.0011068943706514865;0.03535353535353536;0.0;0.03537085915187041;4;4;1
2317;413772;0.009962049335863378;0.03282828282828283;0.0027816411682892906;0.03441912416103913;4;4;4
4075;910753;0.008697027197975965;0.03282828282828283;0.004867872044506259;0.03430787976220257;4;4;4
657;77516;0.007115749525616699;0.03282828282828283;0.004867872044506259;0.03394151179612849;4;4;4
1284;177641;0.007590132827324478;0.03282828282828283;0.0;0.033694306192443825;4;4;1
2990;588473;0.006008855154965212;0.02777777777777778;0.018080667593880387;0.03368414789163225;4;4;4
4193;948356;0.007273877292852625;0.03282828282828283;0.0;0.03362447686321984;4;4;1
1844;297678;0.0056925996204933585;0.03282828282828283;0.0027816411682892906;0.03343410491522231;4;4;4
5333;1385752;0.003320683111954459;0.03282828282828283;0.004867872044506259;0.033352949914894105;4;4;4
3493;730342;0.004427577482605946;0.03282828282828283;0.0013908205841446453;0.033154697671906;4;4;4
2102;356564;0.004585705249841873;0.03282828282828283;0.0006954102920723226;0.033154312563624014;4;4;4
704;84729;0.002055660974067046;0.03282828282828283;0.0027816411682892906;0.033009989746789585;4;4;4
5832;1608223;0.0015812776723592662;0.03282828282828283;0.002086230876216968;0.03293249082288967;4;4;4
9567;5982723;0.002055660974067046;0.03282828282828283;0.0;0.03289258116192817;4;4;1
1189;157812;0.006799493991144845;0.030303030303030304;0.006954102920723226;0.031825560662995384;4;4;4
10854;10632216;0.006957621758380772;0.030303030303030304;0.006258692628650904;0.031715191620089504;4;4;4
4395;1024920;0.003478810879190386;0.030303030303030304;0.006258692628650904;0.031137549744632693;4;4;4
4575;1087957;0.004585705249841873;0.030303030303030304;0.002086230876216968;0.030718963157204397;4;4;4
8153;3755029;0.003320683111954459;0.030303030303030304;0.003477051460361613;0.03068208709873556;4;4;4
1153;152227;0.003320683111954459;0.030303030303030304;0.0;0.030484431795203146;4;4;1
2646;491672;0.003004427577482606;0.030303030303030304;0.0;0.030451604729713522;4;4;1
7389;2799276;0.011859582542694497;0.02777777777777778;0.0013908205841446453;0.030235558838160568;4;4;4
10017;6979221;0.010278304870335231;0.02777777777777778;0.0006954102920723226;0.029626543584317797;4;4;4
7987;3506071;0.008064516129032258;0.02777777777777778;0.004867872044506259;0.029331510989185537;4;4;4
2452;445106;0.008222643896268185;0.02777777777777778;0.0013908205841446453;0.029002606655501192;4;4;4
95;6412;0.005218216318785579;0.025252525252525256;0.01321279554937413;0.028974088068628265;4;4;4
6183;1761758;0.005850727387729285;0.02777777777777778;0.0006954102920723226;0.028395766316679158;4;4;4
607;69736;0.0039531941808981655;0.02777777777777778;0.003477051460361613;0.02827229331627512;4;4;4
9278;5492820;0.01265022137887413;0.025252525252525256;0.0;0.028243904343485338;4;4;1
2517;459897;0.005060088551549652;0.02777777777777778;0.0006954102920723226;0.028243459949082884;4;4;4
974;127535;0.004743833017077799;0.02777777777777778;0.0013908205841446453;0.028214238814166206;4;4;4
1571;229613;0.0006325110689437065;0.02777777777777778;0.004867872044506259;0.02820817588511577;4;4;4
8041;3586801;0.0028462998102466793;0.02777777777777778;0.0027816411682892906;0.02806143062052498;4;4;4
5152;1303561;0.003795066413662239;0.02777777777777778;0.0;0.028035824713314787;4;4;1
9050;5176837;0.003004427577482606;0.02777777777777778;0.0;0.027939783881410805;4;4;1
1272;174246;0.0011068943706514865;0.02777777777777778;0.0;0.027799822902662256;4;4;1
2081;350165;0.005534471853257432;0.025252525252525256;0.003477051460361613;0.026084675523799932;4;4;4
1261;171858;0.004269449715370019;0.025252525252525256;0.0027816411682892906;0.025761517037834178;4;4;4
3771;820391;0.0036369386464263124;0.025252525252525256;0.003477051460361613;0.02574892699133884;4;4;4
6492;1917351;0.0007906388361796331;0.025252525252525256;0.004867872044506259;0.025729580634755528;4;4;4
1958;322311;0.004427577482605946;0.025252525252525256;0.002086230876216968;0.025722477199188767;4;4;4
3948;874898;0.004111321948134092;0.025252525252525256;0.002086230876216968;0.02566993102950446;4;4;4
6497;1919241;0.004269449715370019;0.025252525252525256;0.0;0.025610900657757018;4;4;1
1724;265981;0.0007906388361796331;0.025252525252525256;0.004172461752433936;0.025607119683287796;4;4;4
3693;795010;0.003795066413662239;0.025252525252525256;0.0013908205841446453;0.025573950469390008;4;4;4
4127;926648;0.003795066413662239;0.025252525252525256;0.0013908205841446453;0.025573950469390008;4;4;4
1093;142800;0.003478810879190386;0.025252525252525256;0.0;0.025491021100822915;4;4;1
8682;4560099;0.003004427577482606;0.025252525252525256;0.0;0.02543062360025337;4;4;1
3838;838736;0.0009487666034155598;0.025252525252525256;0.0027816411682892906;0.025422976168936323;4;4;4
6112;1728096;0.01122707147375079;0.022727272727272728;0.0;0.025349083997189;4;4;1
330;30782;0.001265022137887413;0.025252525252525256;0.0006954102920723226;0.025293752353359737;4;4;4
9735;6316590;0.0031625553447185324;0.022727272727272728;0.006258692628650904;0.023784488965461748;4;4;4
3742;812240;0.006483238456672992;0.022727272727272728;0.0013908205841446453;0.023674790144860815;4;4;4
5781;1577861;0.006483238456672992;0.022727272727272728;0.0013908205841446453;0.023674790144860815;4;4;4
3851;843807;0.004743833017077799;0.022727272727272728;0.0;0.023217081584767544;4;4;1
457;47968;0.002055660974067046;0.022727272727272728;0.004172461752433936;0.023198364268535426;4;4;4
4311;987389;0.0039531941808981655;0.022727272727272728;0.002086230876216968;0.023162664551398288;4;4;4
3093;616192;0.004427577482605946;0.022727272727272728;0.0;0.023154532342163896;4;4;1
1975;326472;0.0014231499051233396;0.022727272727272728;0.004172461752433936;0.023150890227976364;4;4;4
53;3230;0.004269449715370019;0.022727272727272728;0.0006954102920723226;0.023135270086303898;4;4;4
2701;506183;0.0007906388361796331;0.022727272727272728;0.004172461752433936;0.023120628721222836;4;4;4
5651;1519273;0.00031625553447185326;0.022727272727272728;0.004172461752433936;0.023109270439770332;3;4;4
360;36073;0.0015812776723592662;0.022727272727272728;0.0027816411682892906;0.022951402839174306;4;4;4
3990;885016;0.0031625553447185324;0.022727272727272728;0.0;0.022946256381559116;4;4;1
2629;486389;0.0028462998102466793;0.022727272727272728;0.0006954102920723226;0.022915364795349977;4;4;4
499;53922;0.001739405439595193;0.022727272727272728;0.002086230876216968;0.022889010816809212;4;4;4
8999;5108906;0.009487666034155597;0.020202020202020204;0.0;0.022318992517999153;4;4;1
10697;9610263;0.01834282099936749;0.012626262626262628;0.0;0.022268398912409337;4;4;1
2928;570070;0.008380771663504111;0.020202020202020204;0.0;0.021871418653544764;4;4;1
2782;526352;0.0074320050600885515;0.020202020202020204;0.0;0.02152571298368568;4;4;1
6742;2113358;0.00015812776723592663;0.020202020202020204;0.004867872044506259;0.020780827771657438;1;4;4
6587;1979087;0.004585705249841873;0.020202020202020204;0.0;0.020715943446564525;4;4;1
5003;1249083;0.004269449715370019;0.020202020202020204;0.0;0.02064824014570989;4;4;1
8232;3888965;0.0023719165085388993;0.020202020202020204;0.003477051460361613;0.020635830369149545;4;4;4
707;85355;0.004111321948134092;0.020202020202020204;0.0;0.020616124475857277;4;4;1
7156;2523492;0.003795066413662239;0.020202020202020204;0.0;0.020555392220216562;4;4;1
